"code","relabel","label","varname","var_rename"
1,,"1: Community Cancer Program","FACILITY_TYPE_CD",
2,,"2: Comprehensive Community Cancer Program","FACILITY_TYPE_CD",
3,,"3: Academic/Research Program","FACILITY_TYPE_CD",
4,,"4: Integrated Network Cancer Program","FACILITY_TYPE_CD",
9,,"9: Other specified types of cancer programs","FACILITY_TYPE_CD",
1,,"1: New England","FACILITY_LOCATION_CD",
2,,"2: Middle Atlantic","FACILITY_LOCATION_CD",
3,,"3: South Atlantic","FACILITY_LOCATION_CD",
4,,"4: East North Central","FACILITY_LOCATION_CD",
5,,"5: East South Central","FACILITY_LOCATION_CD",
6,,"6: West North Central","FACILITY_LOCATION_CD",
7,,"7: West South Central","FACILITY_LOCATION_CD",
8,,"8: Mountain","FACILITY_LOCATION_CD",
9,,"9: Pacific","FACILITY_LOCATION_CD",
0,,"0: Out of US","FACILITY_LOCATION_CD",
1,"White","1: White","RACE",
2,"Black","2: Black","RACE",
3,"Other","3: American Indian, Aleutian, or Eskimo","RACE",
4,"Other","4: Chinese","RACE",
5,"Other","5: Japanese","RACE",
6,"Other","6: Filipino","RACE",
7,"Other","7: Hawaiian","RACE",
8,"Other","8: Korean","RACE",
10,"Other","10: Vietnamese","RACE",
11,"Other","11: Laotian","RACE",
12,"Other","12: Hmong","RACE",
13,"Other","13: Kampuchean","RACE",
14,"Other","14: Thai","RACE",
15,"Other","15: Asian Indian or Pakistani","RACE",
16,"Other","16: Asian Indian","RACE",
17,"Other","17: Pakistani","RACE",
20,"Other","20: Micronesian, NOS","RACE",
21,"Other","21: Chamorran","RACE",
22,"Other","22: Guamanian, NOS","RACE",
25,"Other","25: Polynesian, NOS","RACE",
26,"Other","26: Tahitian","RACE",
27,"Other","27: Samoan","RACE",
28,"Other","28: Tongan","RACE",
30,"Other","30: Melanesian, NOS","RACE",
31,"Other","31: Fiji Islander","RACE",
32,"Other","32: New Guinean","RACE",
96,"Other","96: Other Asian, including Asian, NOS and Oriental, NOS","RACE",
97,"Other","97: Pacific Islander, NOS","RACE",
98,"Other","98: Other","RACE",
99,"Unknown","99: Unknown","RACE",
1,,"1: Male","SEX",
2,,"2: Female","SEX",
3,,"3: Other/Hermaphrodite","SEX",
4,,"4: Transsexual","SEX",
9,,"9: Not stated in patient record","SEX",
0,,"0: Not Insured","INSURANCE_STATUS",
1,,"1: Private Insurance","INSURANCE_STATUS",
2,,"2: Medicaid","INSURANCE_STATUS",
3,,"3: Medicare","INSURANCE_STATUS",
4,,"4: Other Government","INSURANCE_STATUS",
9,,"9: Insurance Status Unknown","INSURANCE_STATUS",
0,"non-Hispanic","0: Non-Spanish; non-Hispanic","SPANISH_HISPANIC_ORIGIN","a_hsp"
1,"Hispanic","1: Mexican/Chicano","SPANISH_HISPANIC_ORIGIN","a_hsp"
2,"Hispanic","2: Puerto Rican","SPANISH_HISPANIC_ORIGIN","a_hsp"
3,"Hispanic","3: Cuban","SPANISH_HISPANIC_ORIGIN","a_hsp"
4,"Hispanic","4: South or Central America","SPANISH_HISPANIC_ORIGIN","a_hsp"
5,"Hispanic","5: Other specified Spanish/Hispanic origin","SPANISH_HISPANIC_ORIGIN","a_hsp"
6,"Hispanic","6: Spanish, NOS Hispanic, NOS Latino, NOS","SPANISH_HISPANIC_ORIGIN","a_hsp"
7,"Hispanic","7: Spanish surname only","SPANISH_HISPANIC_ORIGIN","a_hsp"
8,"Hispanic","8: Dominican Republic","SPANISH_HISPANIC_ORIGIN","a_hsp"
9,"Unknown","9: Unknown","SPANISH_HISPANIC_ORIGIN","a_hsp"
1,,"< $30,000","MED_INC_QUAR_00",
2,,"$30,000 - $35,999","MED_INC_QUAR_00",
3,,"$36,000 - $45,999","MED_INC_QUAR_00",
4,,"$46,000 +","MED_INC_QUAR_00",
1,,">=29%","NO_HSD_QUAR_00",
2,,"20% - 28.9%","NO_HSD_QUAR_00",
3,,"14% - 19.9%","NO_HSD_QUAR_00",
4,,"<14%","NO_HSD_QUAR_00",
1,,"1: Counties in metro areas of 1 million population or more","UR_CD_03",
2,,"2: Counties in metro areas of 250,000 to 1 million population","UR_CD_03",
3,,"3: Counties in metro areas of fewer than 250,000 population","UR_CD_03",
4,,"4: Urban population of 20,000 or more adjacent to a metro area","UR_CD_03",
5,,"5: Urban population of 20,000 or more not adjacent to a metro area","UR_CD_03",
6,,"6: Urban population of 2,500 to 19,999, adjacent to a metro area","UR_CD_03",
7,,"7: Urban population of 2,500 to 19,999, not adjacent to a metro area","UR_CD_03",
8,,"8: Completely rural or less than 2,500 urban population, adjacent to a metro area","UR_CD_03",
9,,"9: Completely rural or less than 2,500 urban population, not adjacent to a metro area","UR_CD_03",
1,,"< $38,000","MED_INC_QUAR_12",
2,,"$38,000 - $47,999","MED_INC_QUAR_12",
3,,"$48,000 - $62,999","MED_INC_QUAR_12",
4,,"$63,000 +","MED_INC_QUAR_12",
1,,">=21%","NO_HSD_QUAR_12",
2,,"13% - 20.9%","NO_HSD_QUAR_12",
3,,"7% - 12.9%","NO_HSD_QUAR_12",
4,,"<7","NO_HSD_QUAR_12",
1,,"1: Counties in metro areas of 1 million population or more","UR_CD_13",
2,,"2: Counties in metro areas of 250,000 to 1 million population","UR_CD_13",
3,,"3: Counties in metro areas of fewer than 250,000 population","UR_CD_13",
4,,"4: Urban population of 20,000 or more adjacent to a metro area","UR_CD_13",
5,,"5: Urban population of 20,000 or more not adjacent to a metro area","UR_CD_13",
6,,"6: Urban population of 2,500 to 19,999, adjacent to a metro area","UR_CD_13",
7,,"7: Urban population of 2,500 to 19,999, not adjacent to a metro area","UR_CD_13",
8,,"8: Completely rural or less than 2,500 urban population, adjacent to a metro area","UR_CD_13",
9,,"9: Completely rural or less than 2,500 urban population, not adjacent to a metro area","UR_CD_13",
0,,"0: Dx at reporting facility, all treatment decisions done elsewhere","CLASS_OF_CASE",
10,,"10: Dx and part or all of 1st course treatment or a decision not to treat was at the reporting facility, NOS","CLASS_OF_CASE",
11,,"11: Dx in staff physician's office and part of 1st course treatment at the reporting facility","CLASS_OF_CASE",
12,,"12: Dx in a staff physician's office and all of 1st course treatment at the reporting facility","CLASS_OF_CASE",
13,,"13: Dx and part of first course Rx at reporting facility, part of first course treatment elsewhere","CLASS_OF_CASE",
14,,"14: Dx at reporting facility and all first course treatment at the reporting facility","CLASS_OF_CASE",
20,,"20: Dx elsewhere and all or part of 1st course treatment or a decision not to treat at the reporting facility, NOS","CLASS_OF_CASE",
21,,"21: Dx elsewhere and part of 1st course treatment at the reporting facility part of first course treatment elsewhere","CLASS_OF_CASE",
22,,"22: Dx elsewhere and all of first course treatment or a decision not to treat at the reporting facility","CLASS_OF_CASE",
0,,"0: Organ is not considered to be a paired site","LATERALITY",
1,,"1: Origin of primary is right","LATERALITY",
2,,"2: Origin of primary is left","LATERALITY",
3,,"3: Only one side involved, right or left origin not specified","LATERALITY",
4,,"4: Bilateral involvement","LATERALITY",
5,,"5: Paired site midline tumor","LATERALITY",
9,,"9: Paired site, but lateral origin unknown, midline tumor","LATERALITY",
0,,"0: Benign","BEHAVIOR",
1,,"1: Borderline","BEHAVIOR",
2,,"2: In situ and/or carcinoma in situ","BEHAVIOR",
3,,"3: Invasive","BEHAVIOR",
1,,"1: Well differentiated, differentiated, NOS","GRADE",
2,,"2: Moderately differentiated, moderately well differentiated, intermediate differentiation","GRADE",
3,,"3: Poorly differentiated","GRADE",
4,,"4: Undifferentiated, anaplastic","GRADE",
5,,"5: T cell T-precursor","GRADE",
6,,"6: B cell, pre-B, B-precursor","GRADE",
7,,"7: Null cell non T-non B","GRADE",
8,,"8: NK (natural killer) cell","GRADE",
9,,"9: Cell type not determined, not stated or not applicable, unknown primaries, high grade dysplasia","GRADE",
0,,"0: All nodes examined are negative","REGIONAL_NODES_POSITIVE",
90,,"90: 90 or more nodes are positive","REGIONAL_NODES_POSITIVE",
95,,"95: Positive aspiration of lymph node(s) was performed","REGIONAL_NODES_POSITIVE",
97,,"97: Positive nodes are documented, but the number is unspecified","REGIONAL_NODES_POSITIVE",
98,,"98: No nodes were examined","REGIONAL_NODES_POSITIVE",
99,,"99: Unknown whether nodes are positive, not applicable, not stated in patient record","REGIONAL_NODES_POSITIVE",
0,,"0: No nodes were examined","REGIONAL_NODES_EXAMINED",
90,,"90: 90 or more nodes were examined","REGIONAL_NODES_EXAMINED",
95,,"95: No regional nodes were removed, but aspiration of regional nodes was performed","REGIONAL_NODES_EXAMINED",
96,,"96: Regional lymph node removal was documented as a sampling, and the number of nodes is unknown/not stated","REGIONAL_NODES_EXAMINED",
97,,"97: Regional lymph node removal was documented as a dissection, and the number of nodes is unknown/not stated","REGIONAL_NODES_EXAMINED",
98,,"98: Regional lymph nodes surgically removed but number not documented, not documented as sampling or dissection","REGIONAL_NODES_EXAMINED",
99,,"99: Unknown if regional nodes examined, not applicable for this site-histology combination","REGIONAL_NODES_EXAMINED",
0,,"0: No surgical diagnostic or staging procedure was performed","RX_SUMM_DXSTG_PROC",
1,,"1: A biopsy was done to a site other than the primary","RX_SUMM_DXSTG_PROC",
2,,"2: A biopsy (incisional, needle, or aspiration) was done to the primary site","RX_SUMM_DXSTG_PROC",
3,,"3: A surgical exploration only","RX_SUMM_DXSTG_PROC",
4,,"4: A surgical procedure with a bypass was performed, but no biopsy was done","RX_SUMM_DXSTG_PROC",
5,,"5: An exploratory procedure was performed, and a biopsy of either the primary site or another site was done","RX_SUMM_DXSTG_PROC",
6,,"6: A bypass procedure was performed, and a biopsy of either the primary site or another site was done","RX_SUMM_DXSTG_PROC",
7,,"7: A procedure was done, but the type of procedure is unknown","RX_SUMM_DXSTG_PROC",
9,,"9: No information of whether a diagnostic or staging procedure was performed","RX_SUMM_DXSTG_PROC",
0,,"0: Not staged(cases that have AJCC staging scheme and staging was not done)","TNM_EDITION_NUMBER",
5,,"5: Fifth Edition","TNM_EDITION_NUMBER",
6,,"6: Sixth Edition","TNM_EDITION_NUMBER",
7,,"7: Seventh Edition","TNM_EDITION_NUMBER",
88,,"88: Not applicable (cases that do not have an AJCC staging scheme)","TNM_EDITION_NUMBER",
99,,"99: Staged, but the edition is unknown, Prior to the 5th edition","TNM_EDITION_NUMBER",
0,,"0: Stage 0","ANALYTIC_STAGE_GROUP",
1,,"1: Stage I","ANALYTIC_STAGE_GROUP",
2,,"2: Stage II","ANALYTIC_STAGE_GROUP",
3,,"3: Stage III","ANALYTIC_STAGE_GROUP",
4,,"4: Stage IV","ANALYTIC_STAGE_GROUP",
5,,"5: Occult (lung only)","ANALYTIC_STAGE_GROUP",
8,,"8: AJCC Staging not applicable","ANALYTIC_STAGE_GROUP",
9,,"9: AJCC Stage Group unknown","ANALYTIC_STAGE_GROUP",
0,,"0: None","CS_METS_DX_BONE",
1,,"1: Yes","CS_METS_DX_BONE",
8,,"8: Not Applicable","CS_METS_DX_BONE",
9,,"9: Unknown","CS_METS_DX_BONE",
0,,"0: None","CS_METS_DX_BRAIN",
1,,"1: Yes","CS_METS_DX_BRAIN",
8,,"8: Not Applicable","CS_METS_DX_BRAIN",
9,,"9: Unknown","CS_METS_DX_BRAIN",
0,,"0: None","CS_METS_DX_LIVER",
1,,"1: Yes","CS_METS_DX_LIVER",
8,,"8: Not Applicable","CS_METS_DX_LIVER",
9,,"9: Unknown","CS_METS_DX_LIVER",
0,,"0: None","CS_METS_DX_LUNG",
1,,"1: Yes","CS_METS_DX_LUNG",
8,,"8: Not Applicable","CS_METS_DX_LUNG",
9,,"9: Unknown","CS_METS_DX_LUNG",
0,,"0: Not present","LYMPH_VASCULAR_INVASION",
1,,"1: Present","LYMPH_VASCULAR_INVASION",
8,,"8: Not applicable","LYMPH_VASCULAR_INVASION",
9,,"9: Unknown","LYMPH_VASCULAR_INVASION",
0,,"0: No surgical procedure of primary site","RX_HOSP_SURG_APPR_2010",
1,,"1: Robotic assisted","RX_HOSP_SURG_APPR_2010",
2,,"2: Robotic converted to open","RX_HOSP_SURG_APPR_2010",
3,,"3: Laparoscopic","RX_HOSP_SURG_APPR_2010",
4,,"4: Laparoscopic converted to open","RX_HOSP_SURG_APPR_2010",
5,,"5: Open or approach unspecified","RX_HOSP_SURG_APPR_2010",
9,,"9: Unknown if surgery performed","RX_HOSP_SURG_APPR_2010",
0,,"0: No residual tumor All margins are grossly and microscopically negative","RX_SUMM_SURGICAL_MARGINS",
1,,"1: Residual tumor, NOS  Involvement is indicated, but not otherwise specified","RX_SUMM_SURGICAL_MARGINS",
2,,"2: Microscopic residual tumor Cannot be seen by the naked eye","RX_SUMM_SURGICAL_MARGINS",
3,,"3: Macroscopic residual tumor, Gross tumor of the primary site which is visible to the naked eye","RX_SUMM_SURGICAL_MARGINS",
7,,"7: Margins not evaluable, Cannot be assessed (indeterminate)","RX_SUMM_SURGICAL_MARGINS",
8,,"8: No primary site surgery, No surgical procedure of the primary site Diagnosed at autopsy","RX_SUMM_SURGICAL_MARGINS",
9,,"9: Unknown or not applicable","RX_SUMM_SURGICAL_MARGINS",
0,,"0: No regional lymph node surgery","RX_SUMM_SCOPE_REG_LN_SUR",
1,,"1: Regional lymph node surgery","RX_SUMM_SCOPE_REG_LN_SUR",
9,,"9: Unknown if there was any regional lymph node surgery","RX_SUMM_SCOPE_REG_LN_SUR",
0,,"0: None","RX_SUMM_SURG_OTH_REGDIS",
1,,"1: Nonprimary surgical procedure performed","RX_SUMM_SURG_OTH_REGDIS",
2,,"2: Nonprimary surgical procedure to other regional sites","RX_SUMM_SURG_OTH_REGDIS",
3,,"3: Nonprimary surgical procedure to distant lymph node(s)","RX_SUMM_SURG_OTH_REGDIS",
4,,"4: Nonprimary surgical procedure to distant site","RX_SUMM_SURG_OTH_REGDIS",
5,,"5: Combination of codes","RX_SUMM_SURG_OTH_REGDIS",
9,,"9: Unknown","RX_SUMM_SURG_OTH_REGDIS",
0,,"0: No surgical procedure of the primary site was performed, or patient not readmitted","READM_HOSP_30_DAYS",
1,,"1: Unplanned readmission within 30 days of discharge","READM_HOSP_30_DAYS",
2,,"2: Planned readmission within 30 days of discharge","READM_HOSP_30_DAYS",
3,,"3: Planned and unplanned readmission within 30 days of discharge","READM_HOSP_30_DAYS",
9,,"9: Unknown if surgery recommended/performed, unknown if readmitted within 30 days of discharge","READM_HOSP_30_DAYS",
0,,"0: Surgery of the primary site was performed","REASON_FOR_NO_SURGERY",
1,,"1: Surgery not performed because it was not part of the planned first course treatment","REASON_FOR_NO_SURGERY",
2,,"2: Surgery was not recommended/performed, contraindicated due to patient risk factors","REASON_FOR_NO_SURGERY",
5,,"5: Surgery not performed because the patient died prior to planned or recommended surgery","REASON_FOR_NO_SURGERY",
6,,"6: Surgery was recommeded by physician but not performed, No reason was noted in patient record","REASON_FOR_NO_SURGERY",
7,,"7: Surgery was recommended but was refused by the patient, patient's family member or guardian","REASON_FOR_NO_SURGERY",
8,,"8: Surgery was recommended, but unknown if performed","REASON_FOR_NO_SURGERY",
9,,"9: Unknown if surgery was recommended or performed, Diagnosed at autopsy or death certificate only","REASON_FOR_NO_SURGERY",
0,,"0: None","RX_SUMM_RADIATION",
1,,"1: Beam radiation","RX_SUMM_RADIATION",
2,,"2: Radioactive implants","RX_SUMM_RADIATION",
3,,"3: Radioisotopes","RX_SUMM_RADIATION",
4,,"4: Combination of beam radiation with radioactive implants or radioisotopes","RX_SUMM_RADIATION",
5,,"5: Radiation therapy, NOS","RX_SUMM_RADIATION",
9,,"9: Unknown","RX_SUMM_RADIATION",
0,,"0: No radiation therapy administered","RAD_LOCATION_OF_RX",
1,,"1: All radiation treatment at this facility","RAD_LOCATION_OF_RX",
2,,"2: Regional treatment at this facility, boost elsewhere","RAD_LOCATION_OF_RX",
3,,"3: Boost radiation at this facility, regional elsewhere","RAD_LOCATION_OF_RX",
4,,"4: All radiation treatment elsewhere","RAD_LOCATION_OF_RX",
8,,"8: Other","RAD_LOCATION_OF_RX",
9,,"9: Unknown","RAD_LOCATION_OF_RX",
0,,"0: No radiation treatment","RAD_TREAT_VOL",
1,,"1: Eye/Orbit","RAD_TREAT_VOL",
2,,"2: Pituitary","RAD_TREAT_VOL",
3,,"3: Brain (NOS)","RAD_TREAT_VOL",
4,,"4: Brain (limited)","RAD_TREAT_VOL",
5,,"5: Head and neck (NOS)","RAD_TREAT_VOL",
6,,"6: Head and neck (limited)","RAD_TREAT_VOL",
7,,"7: Glottis","RAD_TREAT_VOL",
8,,"8: Sinuses","RAD_TREAT_VOL",
9,,"9: Parotid","RAD_TREAT_VOL",
10,,"10: Chest/Lung (NOS)","RAD_TREAT_VOL",
11,,"11: Lung (limited)","RAD_TREAT_VOL",
12,,"12: Esophagus","RAD_TREAT_VOL",
13,,"13: Stomach","RAD_TREAT_VOL",
14,,"14: Liver","RAD_TREAT_VOL",
15,,"15: Pancreas","RAD_TREAT_VOL",
16,,"16: Kidney","RAD_TREAT_VOL",
17,,"17: Abdomen (NOS)","RAD_TREAT_VOL",
18,,"18: Breast","RAD_TREAT_VOL",
19,,"19: Breast/Lymph nodes","RAD_TREAT_VOL",
20,,"20: Chest wall","RAD_TREAT_VOL",
21,,"21: Chest wall/Lymph nodes","RAD_TREAT_VOL",
22,,"22: Mantle, Mini-mantle","RAD_TREAT_VOL",
23,,"23: Lower extended field","RAD_TREAT_VOL",
24,,"24: Spine","RAD_TREAT_VOL",
25,,"25: Skull","RAD_TREAT_VOL",
26,,"26: Ribs","RAD_TREAT_VOL",
27,,"27: Hip","RAD_TREAT_VOL",
28,,"28: Pelvic bones","RAD_TREAT_VOL",
29,,"29: Pelvis (NOS)","RAD_TREAT_VOL",
30,,"30: Skin","RAD_TREAT_VOL",
31,,"31: Soft tissue","RAD_TREAT_VOL",
32,,"32: Hemibody","RAD_TREAT_VOL",
33,,"33: Whole body","RAD_TREAT_VOL",
34,,"34: Bladder and pelvis","RAD_TREAT_VOL",
